data\exact
FileIndex, V(combined), T(combined), E(combined), tms(sectioning), empty, V(i), T(i), E(i), empty, repeat
137,686,21,1205,2, ,686,21,1205
138,739,21,1352,3, ,739,21,1352
139,4416,21,8031,20, ,4416,21,8031
140,229,22,427,1, ,229,22,427
141,281,22,552,1, ,281,22,552
142,824,22,1468,6, ,824,22,1468
143,3870,22,6749,15, ,3870,22,6749
144,130,23,228,0, ,130,23,228
145,257,23,515,0, ,257,23,515
146,3775,23,6896,20, ,3775,23,6896
147,258,24,483,1, ,258,24,483
148,487,24,956,4, ,452,21,887, ,36,5,69
149,7164,24,13660,40, ,7164,24,13660
150,8003,24,14739,46, ,8003,24,14739
151,19079,24,35632,130, ,19079,24,35632
152,244,25,466,1, ,244,25,466
153,418,25,804,2, ,418,25,804
154,58,25,1653,8, ,58,25,1653
155,1990,25,3642,7, ,1990,25,3642
156,2159,25,4080,8, ,2159,25,4080
157,2345,25,4316,9, ,2345,25,4316
158,3556,25,6708,19, ,3556,25,6708
159,5296,25,10031,25, ,5296,25,10031
160,640,25,40896,888, ,640,25,40896
161,640,25,40896,646, ,640,25,40896
162,640,25,40896,686, ,640,25,40896
163,640,25,40896,718, ,640,25,40896
164,640,25,40896,702, ,640,25,40896
165,395,26,773,1, ,395,26,773
166,384,26,765,1, ,384,26,765
167,670,26,1177,2, ,670,26,1177
168,243,27,497,0, ,243,27,497
169,365,27,716,1, ,365,27,716
170,243,27,1215,2, ,243,27,1215
171,243,27,1215,2, ,243,27,1215
172,243,27,1215,2, ,243,27,1215
173,266,28,539,1, ,266,28,539
174,302,28,553,1, ,302,28,553
175,3688,28,6722,11, ,3688,28,6722
176,238,29,429,1, ,238,29,429
177,247,29,505,1, ,247,29,505
178,1604,29,2851,4, ,1604,29,2851
179,461,30,889,2, ,461,30,889
180,8009,30,14745,35, ,8009,30,14745
181,314,31,582,2, ,310,31,575, ,5,2,2
182,1121,31,1999,3, ,1121,31,1999
183,10465,32,19978,54, ,10465,32,19978
184,432,33,832,2, ,6,2,3, ,427,33,824
185,836,34,1480,2, ,836,34,1480
186,1236,34,2466,4, ,1236,34,2466
187,430,36,813,3, ,397,32,753, ,34,6,60
188,8013,36,14749,36, ,8013,36,14749
189,1006,37,2005,5, ,1006,37,2005
190,2034,37,3604,8, ,2034,37,3604
191,11652,37,22285,61, ,11652,37,22285
192,599,38,1203,2, ,599,38,1203
193,700,39,1613,3, ,700,39,1613
194,550,50,5013,44, ,550,50,5013
195,729,76,4368,9, ,729,76,4368
196,9760,104,17400,54, ,9760,104,17400
197,6064,128,10638,27, ,6064,128,10638
198,5735,130,10047,30, ,5735,130,10047
199,6446,136,11323,28, ,6446,136,11323
