data\heuristics
FileIndex, V(original), T(original), E(original), tms(original), V(leaf), T(leaf), E(leaf), tms(leaf), V(deg2), T(deg2), E(deg2), tms(deg2), V(both), T(both), E(both), tms(both)
55, 1343, 91, 2594, 5, 1325, 91, 2576, 0, 1321, 91, 2571, 0, 1303, 91, 2552, 1
56, 1765, 92, 3613, 161, 1724, 90, 3572, 0, 1758, 92, 3606, 1, 1718, 89, 3566, 1
57, 1976, 94, 3836, 9, 1955, 94, 3815, 1, 1895, 94, 3753, 1, 1872, 94, 3730, 2
58, 2404, 95, 4469, 18, 2360, 89, 4425, 1, 2306, 95, 4370, 1, 2256, 89, 4326, 3
59, 2518, 96, 4985, 7, 2503, 96, 4970, 1, 2465, 96, 4932, 1, 2451, 96, 4918, 1
60, 42481, 97, 52552, 51, 42477, 97, 52548, 15, 17266, 97, 26302, 209, 15470, 97, 24357, 408
61, 2265, 98, 4545, 7, 2236, 97, 4516, 0, 2251, 98, 4531, 0, 2222, 97, 4502, 2
62, 2076, 99, 4072, 15, 2074, 99, 4070, 1, 2038, 99, 4031, 1, 2035, 99, 4028, 1
63, 9469, 100, 22743, 35, 9468, 100, 22742, 8, 9465, 100, 22738, 7, 9464, 100, 22737, 14
64, 67966, 100, 82485, 76, 67966, 100, 82485, 23, 25230, 100, 37970, 432, 22205, 100, 34722, 629
65, 10393, 104, 18043, 19, 10367, 104, 18017, 4, 9799, 104, 17441, 6, 9760, 104, 17400, 15
66, 19177, 117, 35730, 48, 19177, 117, 35730, 13, 19173, 117, 35726, 14, 19173, 117, 35726, 14
67, 3224, 126, 5285, 7, 3215, 126, 5276, 0, 3224, 126, 5285, 1, 3206, 126, 5267, 1
68, 1024, 135, 5120, 24, 1024, 135, 5120, 0, 1024, 135, 5120, 0, 1024, 135, 5120, 0
69, 1024, 135, 5120, 7, 1024, 135, 5120, 1, 1024, 135, 5120, 1, 1024, 135, 5120, 0
70, 1024, 135, 5120, 18, 1024, 135, 5120, 0, 1024, 135, 5120, 0, 1024, 135, 5120, 0
71, 640, 160, 1280, 6, 601, 159, 1241, 0, 552, 160, 1191, 0, 513, 159, 1152, 0
72, 640, 160, 1280, 13, 595, 157, 1235, 0, 560, 160, 1199, 0, 515, 157, 1154, 0
73, 640, 160, 4135, 7, 640, 160, 4135, 1, 640, 160, 4135, 0, 640, 160, 4135, 0
74, 640, 160, 4135, 17, 640, 160, 4135, 1, 640, 160, 4135, 0, 640, 160, 4135, 0
75, 640, 160, 40896, 125, 640, 160, 40896, 13, 640, 160, 40896, 10, 640, 160, 40896, 0
76, 640, 160, 40896, 163, 640, 160, 40896, 13, 640, 160, 40896, 9, 640, 160, 40896, 0
77, 640, 160, 204480, 2923, 640, 160, 204480, 39, 640, 160, 204480, 80, 640, 160, 204480, 0
78, 640, 160, 204480, 3256, 640, 160, 204480, 44, 640, 160, 204480, 26, 640, 160, 204480, 0
79, 38418, 172, 71657, 59, 38418, 172, 71657, 30, 38414, 172, 71653, 30, 38414, 172, 71653, 33
80, 666, 174, 221445, 3327, 666, 174, 221445, 52, 666, 174, 221445, 33, 666, 174, 221445, 0
81, 44624, 190, 56205, 600, 44618, 190, 56199, 14, 19084, 190, 29643, 227, 17319, 190, 27735, 444
82, 80736, 191, 98750, 112, 80725, 191, 98739, 28, 30815, 191, 46891, 603, 27463, 191, 43252, 787
83, 2200, 200, 7997, 13, 2109, 200, 7906, 1, 1910, 200, 7704, 4, 1819, 200, 7613, 6
84, 2200, 200, 7997, 36, 2109, 200, 7906, 1, 1910, 200, 7704, 3, 1819, 200, 7613, 6
85, 1200, 200, 10002, 17, 1200, 200, 10002, 1, 1199, 200, 10001, 1, 1199, 200, 10001, 1
86, 1200, 200, 10002, 17, 1200, 200, 10002, 1, 1199, 200, 10001, 1, 1199, 200, 10001, 0
87, 7527, 200, 18170, 49, 7524, 200, 18167, 4, 7524, 200, 18167, 3, 7521, 200, 18164, 9
88, 15473, 200, 38928, 63, 15472, 200, 38927, 13, 15463, 200, 38917, 11, 15462, 200, 38916, 24
89, 33901, 204, 62816, 43, 33897, 204, 62812, 15, 33254, 204, 62169, 17, 33252, 204, 62167, 35
90, 2187, 222, 15308, 27, 2187, 222, 15308, 3, 2187, 222, 15308, 3, 2187, 222, 15308, 0
91, 2187, 222, 15308, 16, 2187, 222, 15308, 3, 2187, 222, 15308, 4, 2187, 222, 15308, 0
92, 2048, 244, 11263, 12, 2048, 244, 11263, 2, 2048, 244, 11263, 1, 2048, 244, 11263, 0
93, 2048, 244, 11263, 10, 2048, 244, 11263, 2, 2048, 244, 11263, 1, 2048, 244, 11263, 0
94, 512, 256, 2304, 18, 512, 256, 2304, 0, 512, 256, 2304, 0, 512, 256, 2304, 0
95, 512, 256, 2304, 5, 512, 256, 2304, 0, 512, 256, 2304, 0, 512, 256, 2304, 0
96, 3300, 300, 18073, 41, 3258, 300, 18031, 6, 3182, 300, 17955, 8, 3140, 300, 17913, 10
97, 3300, 300, 18073, 39, 3258, 300, 18031, 5, 3182, 300, 17955, 6, 3140, 300, 17913, 11
98, 9113, 301, 14491, 29, 9098, 301, 14476, 4, 9113, 301, 14491, 3, 9080, 301, 14456, 16
99, 8755, 347, 14449, 43, 8754, 347, 14448, 4, 8755, 347, 14449, 3, 8753, 347, 14447, 9
100, 13189, 358, 21219, 50, 13176, 358, 21206, 7, 13189, 358, 21219, 8, 13154, 358, 21178, 36
101, 9287, 363, 14975, 14, 9282, 363, 14970, 3, 9287, 363, 14975, 3, 9279, 363, 14967, 7
102, 10398, 367, 16787, 31, 10392, 367, 16781, 4, 10398, 367, 16787, 4, 10388, 367, 16777, 9
103, 50002, 386, 65203, 51, 50002, 386, 65203, 18, 23302, 386, 37522, 256, 21657, 386, 35741, 537
104, 16013, 392, 25269, 29, 15930, 392, 25186, 9, 16013, 392, 25269, 7, 15837, 392, 25081, 45
105, 783, 406, 2262, 7, 783, 406, 2262, 0, 783, 406, 2262, 0, 783, 406, 2262, 0
106, 86413, 419, 108872, 102, 86413, 419, 108872, 32, 35887, 419, 56478, 655, 32705, 419, 53029, 1090
107, 14685, 421, 23466, 32, 14680, 421, 23461, 6, 14685, 421, 23466, 5, 14676, 421, 23457, 13
108, 13694, 427, 22126, 47, 13692, 427, 22124, 6, 13694, 427, 22126, 6, 13691, 427, 22123, 13
109, 12715, 475, 20632, 43, 12701, 475, 20618, 5, 12715, 475, 20632, 5, 12688, 475, 20605, 11
110, 15095, 478, 24091, 39, 15090, 478, 24086, 6, 15095, 478, 24091, 5, 15038, 478, 24009, 144
111, 12355, 503, 19962, 21, 12345, 503, 19952, 4, 12355, 503, 19962, 4, 12323, 503, 19923, 52
112, 1024, 512, 5120, 9, 1024, 512, 5120, 1, 1024, 512, 5120, 0, 1024, 512, 5120, 0
113, 1024, 512, 5120, 6, 1024, 512, 5120, 0, 1024, 512, 5120, 0, 1024, 512, 5120, 0
114, 15592, 515, 24788, 44, 15578, 515, 24774, 7, 15592, 515, 24788, 7, 15554, 515, 24744, 47
115, 9574, 543, 16208, 22, 9571, 543, 16205, 3, 9574, 543, 16208, 3, 9566, 543, 16199, 9
116, 34046, 544, 54841, 49, 34040, 544, 54835, 14, 29339, 544, 50134, 46, 29331, 544, 50126, 63
117, 79244, 550, 101189, 74, 79244, 550, 101189, 29, 33917, 550, 54190, 537, 31132, 550, 51197, 874
118, 15038, 551, 24596, 34, 15025, 551, 24583, 5, 15038, 551, 24596, 6, 15011, 551, 24568, 23
119, 1081, 552, 3174, 6, 1081, 552, 3174, 0, 1081, 552, 3174, 0, 1081, 552, 3174, 0
120, 19867, 565, 31271, 30, 19835, 565, 31239, 9, 19867, 565, 31271, 8, 19793, 565, 31189, 49
121, 5556, 570, 8552, 9, 5550, 570, 8546, 2, 5556, 570, 8552, 2, 5550, 570, 8546, 1
122, 13332, 570, 21580, 35, 13324, 570, 21572, 5, 13332, 570, 21580, 4, 13315, 570, 21562, 17
123, 21808, 594, 34921, 27, 21788, 594, 34901, 11, 21808, 594, 34921, 10, 21757, 594, 34862, 67
124, 14023, 598, 22895, 32, 13998, 598, 22870, 6, 14023, 598, 22895, 5, 13977, 598, 22849, 12
125, 20547, 627, 33230, 25, 20540, 627, 33223, 10, 20547, 627, 33230, 9, 20530, 627, 33211, 33
126, 18555, 636, 29730, 35, 18553, 636, 29728, 8, 18555, 636, 29730, 8, 18551, 636, 29726, 19
127, 13316, 653, 22033, 17, 13305, 653, 22022, 5, 13316, 653, 22033, 6, 13298, 653, 22015, 12
128, 22311, 735, 35516, 41, 22292, 735, 35497, 11, 22311, 735, 35516, 9, 22278, 735, 35483, 22
129, 15122, 737, 24371, 27, 15120, 737, 24369, 7, 15122, 737, 24371, 6, 15119, 737, 24368, 14
130, 60446, 803, 82940, 80, 60446, 803, 82940, 13, 31950, 803, 53557, 339, 30500, 803, 51983, 745
131, 13294, 835, 21948, 26, 13290, 835, 21944, 6, 13294, 835, 21948, 5, 13286, 835, 21939, 17
132, 25946, 866, 41645, 48, 25942, 866, 41641, 13, 25946, 866, 41645, 12, 25939, 866, 41638, 28
133, 15714, 871, 25567, 22, 15705, 871, 25558, 6, 15714, 871, 25567, 6, 15699, 871, 25552, 16
134, 36711, 879, 68117, 57, 36711, 879, 68117, 15, 36148, 879, 67554, 17, 36148, 879, 67554, 21
135, 25081, 888, 40739, 31, 25068, 888, 40726, 12, 25081, 888, 40739, 12, 25057, 888, 40714, 40
136, 18242, 891, 28976, 31, 18235, 891, 28969, 8, 18242, 891, 28976, 8, 18229, 891, 28963, 18
137, 97928, 902, 128632, 96, 97928, 902, 128632, 38, 45610, 902, 74558, 795, 42662, 902, 71359, 1378
138, 85568, 938, 114113, 123, 85568, 938, 114113, 29, 40824, 938, 68131, 540, 38630, 938, 65761, 967
139, 29905, 943, 47457, 51, 29896, 943, 47448, 15, 29905, 943, 47457, 15, 29881, 943, 47430, 96
140, 23412, 945, 37952, 48, 23381, 945, 37921, 10, 23412, 945, 37952, 11, 23349, 945, 37885, 39
141, 30857, 990, 49591, 41, 30853, 990, 49587, 16, 30857, 990, 49591, 16, 30851, 990, 49585, 35
142, 26948, 993, 44194, 47, 26941, 993, 44187, 13, 26948, 993, 44194, 13, 26935, 993, 44180, 44
143, 2676, 1000, 3894, 6, 2481, 949, 3699, 0, 2676, 1000, 3894, 0, 2439, 919, 3657, 2
